	Unknown	InNeurons	Oligodendrocytes	Endothelial	Microglia	Astrocytes	OPC	ExNeurons
11281	0.0043261894	0.1913151	0.14495282	0.0707586	0.015600823	0.1285904	0.01046589	0.43399015
11305	0.0039180387	0.18738003	0.123782076	0.0656372	0.01421675	0.12314871	0.009799621	0.47211754
11289	0.0032373145	0.18322821	0.09241527	0.06350854	0.011444032	0.12218171	0.00690319	0.51708174
11335	0.0033182704	0.18812405	0.109469496	0.06486862	0.011822179	0.108081214	0.0072217938	0.5070944
11319	0.0021069434	0.26353973	0.040391095	0.045735393	0.008487646	0.08414755	0.0052307877	0.5503609
11263	0.004193769	0.16613682	0.14235753	0.0673921	0.015364339	0.13355733	0.010176818	0.4608213
11326	0.0022894007	0.20538493	0.052990224	0.04974863	0.008773009	0.092340626	0.0050499574	0.5834232
11318	0.0029842537	0.21852382	0.065550946	0.05512074	0.011612208	0.1266058	0.0068204887	0.51278174
11310	0.004278145	0.251165	0.103560306	0.07243072	0.015913228	0.11368277	0.009721855	0.42924795
11302	0.003906713	0.25248617	0.08469946	0.06439037	0.015038487	0.1071305	0.00862182	0.4637265
11286	0.004942013	0.29509714	0.09257305	0.071746	0.019602517	0.11432627	0.010395306	0.3913177
11278	0.0075669778	0.26993194	0.2123399	0.09722676	0.022250483	0.20840192	0.011384383	0.17089759
11262	0.006131237	0.2636639	0.10207442	0.06810352	0.023606626	0.18299852	0.014688128	0.33873364
11254	0.0051585026	0.36347032	0.092006184	0.066947706	0.018779099	0.22332503	0.008878864	0.22143431
11341	0.0070286016	0.29424262	0.17190057	0.09000697	0.02009599	0.21573801	0.01030285	0.19068436
11265	0.0024074798	0.21675928	0.04209386	0.06152904	0.008393134	0.11451548	0.0058288635	0.5484728
11296	0.0040036193	0.21998172	0.076629244	0.06679397	0.013988773	0.14749609	0.009882316	0.46122423
11288	0.0037474406	0.20251529	0.11168847	0.061928306	0.0144055635	0.1249988	0.00901792	0.47169825
11280	0.003423687	0.22968228	0.07775911	0.06148084	0.012564364	0.13185227	0.008278285	0.47495914
11328	0.004621587	0.24874015	0.09090146	0.083942056	0.015631678	0.14397515	0.009857654	0.40233025
11320	0.00451587	0.20840184	0.08439633	0.08002793	0.015848292	0.14821519	0.010513795	0.4480807
11336	0.0026796649	0.2507647	0.041852504	0.06275607	0.010200887	0.14131135	0.0064644925	0.4839703
11303	0.004323416	0.24545634	0.069492884	0.08438897	0.015197844	0.16892873	0.010152575	0.40205923
11295	0.006153451	0.19794261	0.12932475	0.09485259	0.020264419	0.18241745	0.015447102	0.35359767
11272	0.0036112976	0.19926326	0.07913007	0.06286934	0.013328633	0.109136365	0.008195729	0.5244653
11261	0.0046751425	0.2530651	0.16123557	0.068274476	0.020158025	0.123943724	0.009897615	0.35875025
11245	0.0057153734	0.25379422	0.17359777	0.073205315	0.024573468	0.13677223	0.012206613	0.32013497
11222	0.0035710018	0.19981389	0.059089165	0.064592026	0.012054061	0.13113855	0.007853662	0.5218877
11214	0.004192131	0.19053154	0.121305205	0.06847137	0.014003069	0.14019538	0.009669818	0.45163152
11198	0.0047428813	0.2513859	0.15418346	0.076978594	0.017750049	0.12371359	0.010592894	0.3606526
11244	0.0042265486	0.22933213	0.089765675	0.07277163	0.014470715	0.15759504	0.010443799	0.4213945
11197	0.0031262673	0.21697967	0.072699346	0.052334264	0.012114366	0.09735755	0.0067417547	0.53864676
11204	0.0040063136	0.19132398	0.10249609	0.05552553	0.014527019	0.12150633	0.008602188	0.50201255
11180	0.0040538157	0.2396344	0.080658406	0.06411659	0.01961199	0.114279665	0.0095575815	0.46808764
11189	0.004108615	0.2859674	0.087992825	0.07037103	0.01654408	0.12897399	0.009340466	0.39670157
11181	0.005108863	0.28599277	0.11435944	0.078083396	0.020029629	0.13121451	0.011910573	0.3533008
11129	0.004444728	0.2543907	0.085154206	0.074318424	0.015805397	0.15739134	0.010753364	0.39774188
11121	0.0051140045	0.23133714	0.09921757	0.07288501	0.017830776	0.14381586	0.011605932	0.41819373
11097	0.0040375916	0.22611673	0.13403867	0.06794716	0.014703023	0.11057792	0.009301131	0.43327776
11088	0.0029611501	0.22117119	0.04520744	0.06584614	0.008825108	0.11309708	0.006890586	0.5360013
11072	0.0045691035	0.21444464	0.12264242	0.07091863	0.016082378	0.13731825	0.010397815	0.42362675
11112	0.0044221785	0.2618182	0.055241313	0.081109114	0.014239729	0.16980273	0.009575731	0.40379104
11104	0.0028893258	0.24019808	0.043401603	0.05616833	0.010755424	0.11655743	0.0059114266	0.52411836
11144	0.0035556722	0.18140106	0.11395969	0.06518971	0.011975083	0.100691654	0.007624583	0.5156025
11277	0.0032560918	0.2029922	0.10999951	0.06667894	0.011479799	0.09178018	0.0071228105	0.5066905
11120	0.0028698072	0.21804707	0.08229122	0.058594484	0.010069496	0.092018396	0.0067250277	0.5293845
11276	0.0034726309	0.20544334	0.11108311	0.06889438	0.011980998	0.09514868	0.008107225	0.49586967
11150	0.004250945	0.20557277	0.1627481	0.067563735	0.0135874525	0.104764886	0.009104203	0.4324079
11142	0.0030552687	0.23515083	0.10995094	0.06231007	0.011159391	0.10009471	0.006753096	0.47152564
11134	0.0031283589	0.23597264	0.071101405	0.058174234	0.011608296	0.09504149	0.006296051	0.51867753
11095	0.0042525567	0.21655059	0.20731205	0.069274075	0.0154133765	0.10411482	0.009427627	0.37365484
11087	0.0027980972	0.2696447	0.0789052	0.06817946	0.011320715	0.07287722	0.0066691916	0.4896054
11079	0.0047327876	0.20290308	0.18952847	0.07437817	0.016309043	0.11005945	0.009660212	0.39242876
11071	0.005712182	0.22939746	0.21235396	0.08549825	0.019797593	0.11602365	0.010981987	0.32023492
11063	0.0042844606	0.22413218	0.18227601	0.07020634	0.0146796955	0.11213531	0.009352895	0.38293317
11151	0.0062103174	0.21994328	0.14956689	0.08841008	0.019301223	0.13730697	0.013760731	0.36550048
11143	0.0033584696	0.20136006	0.07180572	0.06236528	0.0115600275	0.0904905	0.0067390655	0.5523209
